,prompt,answer
0,I understand the information collected during the interview may be shared with other researchers for use and future research or teaching purposes and that the data will be thoroughly anonymize first,Yeah.
1,"Yes. Excellent. There are just two other things here. If you would like to receive a copy of the research findings. Upon completion of this study, you can tell me that. Now, or you can email me. You know what I'm",Interested
2,"And if you'd like to receive a hard copy of the study documents by mail. I'm happy to send those to you, but I would need your mailing address for that.","Now, that's fine enough. Great. Okay."
3,"All right, so that's that way. So we can go ahead and get started here. So you have one child. Is that right or one child in the age group?","That’s right, one child."
4,"Can you tell me a little bit about them. What's their name? How old are they? All that, all that good stuff.","He's a little boy called [Child], he is four and a bit now, due to start school in September. He was very premature and so that's something that we take into account when we're thinking about things like his health, but he hasn’t got any lasting effects from that."
5,"Okay, yeah. And how's he doing, he hasn't he hadn't started reception yet, right? So he's been home through all this?","Yeah, thats right."
6,"Uh huh. Oh, nice. Yeah. How has he been enjoying having everyone at home most of the time now?","It's been interesting. He's coped quite well with it to be, to be fair. But he was able to go back to his nursery three weeks ago and he's absolutely loving being amongst some of his peers. With him being an only child. It's a bit boring for him to be home with us all the time."
7,"Yeah, that social interaction with kids his age, I'm sure that's that's very important. I think a lot of the time for for young children, it's almost harder for the parents to adapt to the change than it is for the children.",Mhm
8,"So can you tell me a little bit about what you know about the flu? Sort of your first impressions when you hear the word flu, any symptoms, kind of, what do you think of when you hear the word flu?","And well I think flu is quite a, quite severe illness really. And I believe I've only had proper flu once. I think the word flu gets bandied around quite light heartedly sometimes when to me, proper flu is it, is a is, an illness that brings coughing, trouble breathing, kind of cold symptoms, but my experience of it was basically a week of being really, really ill. So like I say that was only once in my life. It's, it's, it's something serious and it obviously can have potential complications like pneumonia. So it's not something that I would take lightly. personally"
9,"Yeah. So do you worry about [Child] getting the flu or is it something that you think is mostly a concern for adults, or can you give me a sense for that?","Um, I don't know whether I i would say I worry about him getting it. And I think it's probably unlikely that he's gonna get it. It is a is a seasonal thing every year, isn't it. So there is always the potential."
10,"Yeah, sure. So it sounds like what you're saying is, like, it's not something you are actively worrying about but its not something that, you know, you would ever want him to have.","Mhm, yeah."
11,"So can you explain to me what do you think getting sick with the flu is like specifically for children like what, what would you expect to see if your son was getting the flu?","I'm not, I'm not really sure whether I have an expectation of that. I assume he would present with usual cough or cold kind of symptoms, but be very ill with that for a.. Well not very ill, but more than a normal cold if that makes any sense. I don't particularly know anything really about how flu would affect a child versus how it would affect an adult. But again, like I said with with him being very premature, he was born at 29 weeks gestation, and he had chronic lung disease due to ventilation and and obviously lung immaturity. And so anything like that, although we don't believe he has any lasting complications from that, there is that little bit of that at the back of me mind going ""Well, I wouldn't really want him to get something that's going to be heavy on the chest"". [Inaudible]... even if [Inaudible]... speak well...[Inaudible]."
12,"Yeah that makes sense why, you know, even if there's no lasting effects I can see why you wouldn't you know you wouldn't be wanting to take any chances with it.","Yeah, I think it's just something that kind of in the back of my mind really"
13,"Yeah. So do you know anyone whose child has gotten sick with the flu, maybe like any of his friends or, you know, people that you know with children who might be around his age?","No, I don't think I do, to be honest."
14,"Yeah. So when you want to learn about a sickness, like the flu, where would you go to get that information",The NHS website.
15,"The NHS website. Are there any others that you use, or is it just straight to the NHS?","Just straight to the NHS. Its just, I'm fully confident in the information that will be on there and that things will be accurate. I mean, you can you can troll around the internet and find all sorts of stuff. You know, if I'm, if I'm looking for something like that. I've got to go to something that I'm sure is a trusted source."
16,Yeah sure that that makes sense to me. Have you ever talked to [Child]'s GP about the flu or any like medical professional at all?,"No, I don't think I have. No."
17,Okay. So my next few questions are to help me learn my your thoughts around the flu vaccine and kind of whether or not it's something that would be beneficial for your child. So what do you think the benefits of the flu vaccine are?,"Ah well, it, it just, it just removes some of the risk of him getting ill. I mean, obviously I am aware that that strains of flu are many and varied and that they change every year and that the flu vaccine is only going to be efffective against a percentage of those. It, it just removes some of the risk of him getting really quite ill. Bit of a no brainer for me."
18,"Yeah, absolutely. No, that does sound like a benefit. So I guess when you think about the benefits you thinking, mostly about the benefit to his health. Like, do you see any sort of other benefits or is it just straightforward. You know, he's not going to get sick, so he's going to be healthier.","Ah, I've probably never particularly thought much beyond that, really. I mean, that is that is my number one concern. I have, I don't really have an understanding of how things like herd immunity and reducing spread in the community can be beneficial and not beneficial to those who cant have it. Obviously I understand that thats significant with things like measles. So I assume there to be some kind of element of that with with the flu vaccine as well. But, to be perfectly honest, if you hadn't asked me the question I probably wouldn't look at it ;ole that."
19,"Yeah, no, that's, that's great to know, you know, it's, I'm just trying to figure out sort of what the, what the most important parts are so it's good to know that. You know, it makes sense to me, you think flu is serious, get the vaccine, like you said, it's kind of a no brainer.",Yeah.
20,"So if you want to learn about a vaccine, like whether it, you know, whether it would be beneficial for your child, whether it's something he needs, something he doesn't need, where would you go to get that information?","Um, I probably have an inherent trust of vaccinations and if, if the health community are advising me to have a vaccination for my child, then it's it's not it's not really something I'd look a great deal further into, I don't think. Um, if the GP, If the NHS are telling me that this is a vaccine that they advise my child to have, then I'm pretty much okay with that."
