row,id,prompt,topic,label_json
0,Q10_Dep_0,Q10_Health Impact,Depression,[{'Axial_Category': 'Unknown Adult Experiences'}]
1,Q10_Dep_1,Q10_Health Impact,Depression,[{'Axial_Category': 'Feeling anxious during the pandemic'}]
2,Q10_Dep_2,Q10_Health Impact,Depression,[]
3,Q10_Obe_0,Q10_Health Impact,Obesity,[]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[]
5,Q10_Obe_2,Q10_Health Impact,Obesity,[{'Axial_Category': 'Flu is not a Problem'}]
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'Other Axial Categories'}]
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'Teenagers'}]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[{'Axial_Category': ''}]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'Elderly'}]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,[]
12,Q12_Dep_0,Q12_Risk Factors,Depression,[{'Axial_Category': 'Childhood Risk Factors'}]
13,Q12_Dep_1,Q12_Risk Factors,Depression,"[{'Axial_Category': 'Family Issues'}, {'Axial_Category': 'Seeking Balance'}]"
14,Q12_Dep_2,Q12_Risk Factors,Depression,[{'Axial_Category': 'Being Socially Lonely'}]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[]
0,Q10_Dep_0,Q10_Health Impact,Depression,[]
1,Q10_Dep_1,Q10_Health Impact,Depression,[{'Axial_Category': 'Mental Health Impact'}]
2,Q10_Dep_2,Q10_Health Impact,Depression,[{'Axial_Category': 'Feeling mentally ill by nature of millennial characteristics'}]
3,Q10_Obe_0,Q10_Health Impact,Obesity,[{'Axial_Category': '[No Axial Category]'}]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[{'Axial_Category': ''}]
5,Q10_Obe_2,Q10_Health Impact,Obesity,"[{'Axial_Category': 'Flu is a Community-Based Issue'}, {'Axial_Category': 'The Flu is Serious'}, {'Axial_Category': 'I am a Victim to the Flu'}, {'Axial_Category': 'Entitlement'}]"
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'None'}]
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'Affecting People of Any Generation'}]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,"[{'Axial_Category': 'Screen and Devices'}, {'Axial_Category': 'Low Incomes'}, {'Axial_Category': 'Spanish Speaking'}, {'Axial_Category': 'Lower Income'}]"
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,"[{'Axial_Category': 'No filter'}, {'Axial_Category': 'Lack of Income'}]"
12,Q12_Dep_0,Q12_Risk Factors,Depression,[{'Axial_Category': 'Being susceptible to Depression'}]
13,Q12_Dep_1,Q12_Risk Factors,Depression,[]
14,Q12_Dep_2,Q12_Risk Factors,Depression,[]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Believing they are ready to be set loose on accounts'}]
0,Q10_Dep_0,Q10_Health Impact,Depression,[]
1,Q10_Dep_1,Q10_Health Impact,Depression,[{'Axial_Category': 'COVID'}]
2,Q10_Dep_2,Q10_Health Impact,Depression,"[{'Axial_Category': 'Acknowledging that Millennials have more Mental Health issues'}, {'Axial_Category': 'Wanting to be part of a team to contribute'}, {'Axial_Category': 'Feeling a sense of entitlement'}]"
3,Q10_Obe_0,Q10_Health Impact,Obesity,[]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[{'Axial_Category': '[CODE]'}]
5,Q10_Obe_2,Q10_Health Impact,Obesity,[{'Axial_Category': 'Discontent with the quality their college education.'}]
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,"[{'Axial_Category': 'Vulnerable Populations'}, {'Axial_Category': 'At-Risk Populations'}, {'Axial_Category': 'Higher Risk'}, {'Axial_Category': 'Males More Likely'}, {'Axial_Category': 'Females More Likely'}, {'Axial_Category': 'More Loneliness'}, {'Axial_Category': 'Vulnerable Populations'}, {'Axial_Category': 'Difficult to Form Communities'}, {'Axial_Category': 'Changes to Life'}, {'Axial_Category': 'Minority Groups'}, {'Axial_Category': 'Difficult to Form Communities'}, {'Axial_Category': 'Changes to Life'}]"
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'At Risk'}]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'Poverty'}]
12,Q12_Dep_0,Q12_Risk Factors,Depression,[]
13,Q12_Dep_1,Q12_Risk Factors,Depression,[{'Axial_Category': 'Financial Instability'}]
14,Q12_Dep_2,Q12_Risk Factors,Depression,[]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[]
0,Q10_Dep_0,Q10_Health Impact,Depression,"[{'Axial_Category': 'Uncertainty of career choice'}, {'Axial_Category': 'Dissatisfied with training program'}]"
1,Q10_Dep_1,Q10_Health Impact,Depression,"[{'Axial_Category': 'Lack of awareness, miscommunication, and communication barriers'}, {'Axial_Category': 'Has Health Impact'}, {'Axial_Category': 'Depression is Prevalent in the Population'}, {'Axial_Category': 'People with Depression are Vulnerable to Suicide'}, {'Axial_Category': ""It's Difficult to Identify Flu Symptoms""}, {'Axial_Category': 'Depression Impacts People Who Have a Pre Existing History of Depression'}, {'Axial_Category': 'Not Talking or Unheard'}, {'Axial_Category': 'Long Standing Illness'}]"
2,Q10_Dep_2,Q10_Health Impact,Depression,"[{'Axial_Category': 'Increase in mental health issues'}, {'Axial_Category': 'Mental Health Awareness'}, {'Axial_Category': 'Impaired Concentration'}]"
3,Q10_Obe_0,Q10_Health Impact,Obesity,[]
4,Q10_Obe_1,Q10_Health Impact,Obesity,"[{'Axial_Category': 'Q10_Obesity'}, {'Axial_Category': 'Q10_Obesity'}]"
5,Q10_Obe_2,Q10_Health Impact,Obesity,[{'Axial_Category': 'Having a problem with flu at UVU'}]
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,[{'Axial_Category': '<Label>'}]
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'Social and Economic Position'}]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,"[{'Axial_Category': 'Obese population'}, {'Axial_Category': 'Population lacking access to fresh food'}, {'Axial_Category': 'Lacking access to food'}, {'Axial_Category': 'Poor access to transportation as a barrier'}]"
12,Q12_Dep_0,Q12_Risk Factors,Depression,[]
13,Q12_Dep_1,Q12_Risk Factors,Depression,[{'Axial_Category': 'Feeling burdened by the stress of the economy'}]
14,Q12_Dep_2,Q12_Risk Factors,Depression,[{'Axial_Category': 'Negative Impact of COVID-19'}]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Not walking/biking enough due to the environment'}]
0,Q10_Dep_0,Q10_Health Impact,Depression,[]
1,Q10_Dep_1,Q10_Health Impact,Depression,[]
2,Q10_Dep_2,Q10_Health Impact,Depression,"[{'Axial_Category': 'Being aware of symptoms of mental health issues'}, {'Axial_Category': 'Possessing previous therapeutic experiences'}, {'Axial_Category': 'Impact to mental health'}, {'Axial_Category': 'Impaired concentration for some time being'}, {'Axial_Category': 'Acknowledging symptoms of mental well-being'}]"
3,Q10_Obe_0,Q10_Health Impact,Obesity,[{'Axial_Category': '<Category>'}]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[]
5,Q10_Obe_2,Q10_Health Impact,Obesity,"[{'Axial_Category': ""The flu affects people's lives""}]"
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,"[{'Axial_Category': 'Common Vulnerability, Regardless of Age'}]"
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'Poverty Related Factors'}]
12,Q12_Dep_0,Q12_Risk Factors,Depression,[]
13,Q12_Dep_1,Q12_Risk Factors,Depression,[]
14,Q12_Dep_2,Q12_Risk Factors,Depression,"[{'Axial_Category': 'Bad Environment'}, {'Axial_Category': 'Feeling Entitled'}]"
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Weather and Commute Conditions'}]
0,Q10_Dep_0,Q10_Health Impact,Depression,[]
1,Q10_Dep_1,Q10_Health Impact,Depression,[{'Axial_Category': 'Mental illnesses'}]
2,Q10_Dep_2,Q10_Health Impact,Depression,[{'Axial_Category': 'Feeling like they have no time for activities that require mental energy'}]
3,Q10_Obe_0,Q10_Health Impact,Obesity,[{'Axial_Category': 'Family & Neighborhood Perception'}]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[]
5,Q10_Obe_2,Q10_Health Impact,Obesity,[]
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,"[{'Axial_Category': 'Minority Groups'}, {'Axial_Category': 'Difficult to Form Communities'}, {'Axial_Category': 'Vulnerable Populations'}, {'Axial_Category': 'Changes to Life'}, {'Axial_Category': 'No More Activities'}, {'Axial_Category': 'More Loneliness'}, {'Axial_Category': 'Missionaries'}, {'Axial_Category': 'Females More Likely'}, {'Axial_Category': 'Higher Risk'}, {'Axial_Category': 'At-Risk Populations'}, {'Axial_Category': 'But/However'}]"
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
