n_neighbors,n_components,silhouette_score
5,5,0.5585453510284424
5,10,0.566521167755127
5,15,0.5624890327453613
5,20,0.5889999270439148
5,25,0.575689971446991
5,50,
5,100,
10,5,0.4968765676021576
10,10,0.47822654247283936
10,15,0.4490806460380554
10,20,0.46880465745925903
10,25,0.4667437970638275
10,50,
10,100,
15,5,0.4610242247581482
15,10,0.4646024703979492
15,15,0.4261184632778168
15,20,0.4564301073551178
15,25,0.4281345009803772
15,50,
15,100,
20,5,0.40709078311920166
20,10,0.41333553194999695
20,15,0.4282251000404358
20,20,0.4264927804470062
20,25,0.3831477761268616
20,50,
20,100,
25,5,0.461428165435791
25,10,0.41592714190483093
25,15,0.3196520507335663
25,20,0.40947383642196655
25,25,0.4145817160606384
25,50,
25,100,
50,5,0.3483922779560089
50,10,0.3410291075706482
50,15,0.36945343017578125
50,20,0.35011112689971924
50,25,0.29373013973236084
50,50,
50,100,
100,5,0.2983570694923401
100,10,0.32264333963394165
100,15,0.347521036863327
100,20,0.3581109046936035
100,25,0.3172597885131836
100,50,
100,100,
