row,id,prompt,answer,label_json
16,ts9_16,"Yeah, that's good. Um, so is flu, something you would be worried about your child one of your children became ill with? Or is it something that is more like, well, if they get it you know they get it. Obviously, you don't want it to happen.","Yeah, I put it down as one of these things that if they're going to catch it, they're going to catch it. Theres a certain amount of precaution you can take but you can't just live your life hiding from everything. So if they did show symptoms I wouldn't be worried, unless they got to the point where obviously if it was a hospitalisation then I'd be really worried.","[{'Original_Text': ""Yeah, I put it down as one of these things that if they're going to catch it, they're going to catch it."", 'Code': 'No Concern', 'Topic': 'Parental Worry', 'Keywords': ['Catch Flu', 'No Concern']}, {'Original_Text': ""Theres a certain amount of precaution you can take but you can't just live your life hiding from everything."", 'Code': 'Limited Precautions Safe', 'Topic': 'Precautions and Precautions', 'Keywords': ['Precautions', 'Safe']}, {'Original_Text': ""If they showed symptoms I wouldn't be worried, unless they got to the point where obviously  they were if it was a hospitalisation"", 'Code': 'Hospitalised as Concern', 'Topic': 'Concerns', 'Keywords': ['Hospital', 'Concern']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': ""Interview: Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't."", 'Code': 'Consent Question Statement', 'Topic': 'Consent Questions', 'Keywords': ['Consent', 'Question Questions']}, {'Original_Text': 'Answer: Alright, Okay.', 'Code': 'Participant Answer: Agree', 'Topic': 'Participant Agreement', 'Keywords': ['Agreement']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah I agree.', 'Code': 'Agreed Statement', 'Topic': 'Statement Agreed', 'Keywords': ['Agreement']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.'}, {'Code': 'I agree', 'Topic': 'Permission to participate', 'Keywords': ['Agreement', 'Participation']}, {'Original_Text': 'I agree.'}, {'Code': 'I agree.', 'Topic': 'Permission to participate', 'Keywords': ['Agreement', 'Participation']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': '', 'Topic': '', 'Keywords': ['I agree', 'Consent']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Interview Consent', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Interview']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'Interviewer: And I agree to take part in this study.', 'Code': 'Participant Assent', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Assent']}, {'Original_Text': 'Answer: Yeah, I agree.', 'Code': 'Participant Assent', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Assent']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine."", 'Code': 'Accepts Research Findings', 'Topic': 'Research Output', 'Keywords': ['Research Output']}, {'Original_Text': ""I know my wife is involved as well so she'll probably get a copy as well."", 'Code': 'Other Involved', 'Topic': 'Multiple Viewpoints', 'Keywords': ['Other Involved', 'Wife', 'Wife Viewpoint']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Send to Personal Address for Wife Viewpoint', 'Topic': 'Recipient', 'Keywords': ['Personal Email Address', 'Wife Email Address']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine.', 'Code': 'Preferred Method', 'Topic': 'Communication', 'Keywords': ['Email', 'Preferred']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': 'Is that right?', 'Code': 'Confirmation of Number of Children', 'Topic': 'Household Composition', 'Keywords': ['Children', 'Confirmation']}, {'Original_Text': ""Yeah, I've got four."", 'Code': 'Four Children', 'Topic': 'Child Number', 'Keywords': ['Children', 'Number']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Now, so we can get started by doing a kind of a consent process.', 'Code': 'Consent Process Commenced', 'Topic': 'Consents', 'Keywords': ['Consents']}, {'Original_Text': ""So I'm going to read you a series of statements and I'll just have you Say Yes, I agree to them"", 'Code': 'List of Consent Statements Read Out', 'Topic': 'Consent Statements', 'Keywords': ['Consent Statements', 'Read out']}, {'Original_Text': ""Or, no, I don't."", 'Code': 'Say Yes, or No, Statements', 'Topic': 'Yes or No Consent Statements', 'Keywords': ['Yes']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I understand that my participation is voluntary', 'Label': 'Informed Consent', 'Keywords': ['Participant', 'Participation', 'Voluntary']}, {'Original_Text': ""And I'm free to withdraw at any time"", 'Label': 'Informed Consent', 'Keywords': ['Withdrawing', 'Consent']}, {'Original_Text': 'Without giving any reason', 'Label': 'Informed Consent', 'Keywords': ['Consent', 'Withdrawing', 'Reason']}, {'Original_Text': 'And I also understand that I can decline to answer any questions during the interview', 'Label': 'Informed Consent', 'Keywords': ['Participant', 'Consent']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'Interviewer: I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.', 'Code': 'Informed Consent', 'Topic': 'Consent', 'Keywords': []}, {'Original_Text': 'Answer: I agree.', 'Code': 'Agreed', 'Topic': 'Consent Response', 'Keywords': []}]"
