prompt,Q3_Health Problem,json_list,clusters,cluster_id,id
Q10_Health Impact,Depression,"['Increased Mental Health Issues', 'Has Done Therapy', '<Label>', 'Anxiety Depression Impact', 'Has Health Impact', 'Uncertain of Effect', 'Inadequate Inter-Resident Interaction', 'Uncertain of the Effect of the Flu on the Community', 'Mental Health Impact', 'Depression Makes Health Worse', 'Impaired Concentration', 'Stress from Expectations', 'Work in 3 Different Schools', 'Unknown Adult Experiences', 'Difficulty identifying flu symptoms', 'Different Experiences', 'Suicided', 'Depression', 'Mental Health Awareness', 'Prevalence of Depression', 'Flu Awareness', 'Long Standing Illness', 'Perceived History']","['<Label>', 'Uncertain of Effect', 'Inadequate Inter-Resident Interaction', 'Work in 3 Different Schools', 'Unknown Adult Experiences', 'Different Experiences', 'Perceived History']",0,Q10_Dep_0
Q10_Health Impact,Depression,"['Increased Mental Health Issues', 'Has Done Therapy', '<Label>', 'Anxiety Depression Impact', 'Has Health Impact', 'Uncertain of Effect', 'Inadequate Inter-Resident Interaction', 'Uncertain of the Effect of the Flu on the Community', 'Mental Health Impact', 'Depression Makes Health Worse', 'Impaired Concentration', 'Stress from Expectations', 'Work in 3 Different Schools', 'Unknown Adult Experiences', 'Difficulty identifying flu symptoms', 'Different Experiences', 'Suicided', 'Depression', 'Mental Health Awareness', 'Prevalence of Depression', 'Flu Awareness', 'Long Standing Illness', 'Perceived History']","['Anxiety Depression Impact', 'Has Health Impact', 'Uncertain of the Effect of the Flu on the Community', 'Depression Makes Health Worse', 'Stress from Expectations', 'Difficulty identifying flu symptoms', 'Suicided', 'Depression', 'Prevalence of Depression', 'Flu Awareness', 'Long Standing Illness']",1,Q10_Dep_1
Q10_Health Impact,Depression,"['Increased Mental Health Issues', 'Has Done Therapy', '<Label>', 'Anxiety Depression Impact', 'Has Health Impact', 'Uncertain of Effect', 'Inadequate Inter-Resident Interaction', 'Uncertain of the Effect of the Flu on the Community', 'Mental Health Impact', 'Depression Makes Health Worse', 'Impaired Concentration', 'Stress from Expectations', 'Work in 3 Different Schools', 'Unknown Adult Experiences', 'Difficulty identifying flu symptoms', 'Different Experiences', 'Suicided', 'Depression', 'Mental Health Awareness', 'Prevalence of Depression', 'Flu Awareness', 'Long Standing Illness', 'Perceived History']","['Increased Mental Health Issues', 'Has Done Therapy', 'Mental Health Impact', 'Impaired Concentration', 'Mental Health Awareness']",2,Q10_Dep_2
Q10_Health Impact,Obesity,"['Good Health', 'Low Obesity', 'Community Fitness', 'Some Obesity in Community', 'Social Activity Impact', 'Difficulty with Activities', 'Poor Health = No Recreation', 'Payson Market as Good Food Source', 'Health Affects Activities', 'Availability of Grocery Stores', 'Lack of Fitness', 'Obesity Not Cause - Cause Factors', 'Q10_Health Impact', 'Flu Shot Recommended', 'Many Outdoor Resources', 'Community', 'Health Resources', 'Familial Impact', 'Limited Extracurricular/Sports', 'Not Many Extracurriculars', 'Surrounding Fast Food Restaurants', 'Affects Addicts', 'Less Activities', 'Bad for Substance Addicts', 'Personal Observations', 'Potentially High-Risk Area', 'Impact on Family', 'Could Affect Children', 'Flu is an issue at UVU', 'Health Impact', 'UVU Experience', 'Present Issue', ""Doesn't notice high rates"", 'Poor Quality of Life', 'Impacts Walking', 'Obesity and Driving', 'Not as Extreme as In Other Areas ', 'Impacts Vehicle Usage', 'See Obesity in Older People', 'Too Busy for Exercise', 'Middleaged people are most prone to Obesity', 'Poverty as Reason for Illness', 'Missed Treatment', 'Health Issue Seen in Elementary Schools', 'Health Impact (obesity)', 'Mental Impact of Being Obese', 'Limited Community Impact', 'Difficult Doing Day-To-Day Things', 'Rely on Others', 'Difficulty in Activities', 'Associated with Health Issues', 'Diabetes', 'Age/ Weight', 'Families Struggle with Obesity', 'Obesity Leads to Medical Problems', 'Obesity Cycle', 'Obesity Linked to Depression', 'Inability to Exercise', 'Prevalence of Senior Obesity in Eagle Mountain', 'Impacts of Obesity', 'A Few Obese Seniors Available', 'High Risk for Falls', 'Affects Mobility', 'Increases Health Issues', 'Not specific to EM', 'Problem in Community', 'Broader Flu Problem', 'No Area Effect Perception', 'Personal Impact', 'Social Impact', 'Negative Transportation Impact', 'Walking Discomfort', 'Mobility Issues', 'Reduced Walking Activity', 'Limited Health Knowledge', 'Active Community', 'Walking', 'On-Campus Activity', 'No Direct Observations', 'More Opportunities on Campus', 'Never experienced flu', 'Insight into Community Health Issues', 'Rec Center Perspectives', 'Attempting to Fix', 'National Level Comparison', 'Local Level Perception', 'National Average', 'Normal Obesity Perception', 'No Obvious Overweight Issues', 'No Communities Known Interacting with Obese People', ""Don't know people at risk of conditions"", 'Privileged Neighborhood', 'Limited Exposure and Perception of Obesity', 'Limited Awareness Regarding Others', 'Limited Social Knowledge', 'No Personal Experiences', 'Can’t Teach Kids to be Healthy', 'Ripple Effect - Obesity', 'Health Cascade', 'Fitness Facility', 'No Recent Observation of Obesity', 'Limited Observation', 'See Steps Being Taken', 'Obesity Causes Complications', 'Obesity Increases Healthcare Costs', 'Obesity Impact on Quality of Life', 'Impact on Pediatric Population', 'Health Issues Can Lead Too', 'Impact on Mental Health', 'Affect on Self-Esteem', 'Negative Impact', 'Obesity Can Affect Behavior', 'Similar to Anywhere', ""Flu Doesn't Change Impact"", 'Childhood Athletic Environment', 'Childhood Environment Did Not Have Obesity Problem', 'Playing Sports', 'Family & Neighborhood Perception', 'No Old Neighbors', 'No Obesity Awareness', '_Question_Q10_Health Impact', 'Healthy Diet', 'One Serving a Week']","['Community Fitness', 'Availability of Grocery Stores', 'Many Outdoor Resources', 'Community', 'Limited Extracurricular/Sports', 'Not Many Extracurriculars', 'Surrounding Fast Food Restaurants', 'Personal Observations', 'Potentially High-Risk Area', 'UVU Experience', ""Doesn't notice high rates"", 'Not as Extreme as In Other Areas ', 'Limited Community Impact', 'Rely on Others', 'High Risk for Falls', 'Not specific to EM', 'No Area Effect Perception', 'Limited Health Knowledge', 'Active Community', 'On-Campus Activity', 'No Direct Observations', 'More Opportunities on Campus', 'Rec Center Perspectives', 'National Level Comparison', 'Local Level Perception', 'National Average', ""Don't know people at risk of conditions"", 'Privileged Neighborhood', 'Limited Awareness Regarding Others', 'Limited Social Knowledge', 'No Personal Experiences', 'Limited Observation', 'Similar to Anywhere', 'Childhood Athletic Environment', 'Family & Neighborhood Perception', 'No Old Neighbors']",0,Q10_Obe_0
Q10_Health Impact,Obesity,"['Good Health', 'Low Obesity', 'Community Fitness', 'Some Obesity in Community', 'Social Activity Impact', 'Difficulty with Activities', 'Poor Health = No Recreation', 'Payson Market as Good Food Source', 'Health Affects Activities', 'Availability of Grocery Stores', 'Lack of Fitness', 'Obesity Not Cause - Cause Factors', 'Q10_Health Impact', 'Flu Shot Recommended', 'Many Outdoor Resources', 'Community', 'Health Resources', 'Familial Impact', 'Limited Extracurricular/Sports', 'Not Many Extracurriculars', 'Surrounding Fast Food Restaurants', 'Affects Addicts', 'Less Activities', 'Bad for Substance Addicts', 'Personal Observations', 'Potentially High-Risk Area', 'Impact on Family', 'Could Affect Children', 'Flu is an issue at UVU', 'Health Impact', 'UVU Experience', 'Present Issue', ""Doesn't notice high rates"", 'Poor Quality of Life', 'Impacts Walking', 'Obesity and Driving', 'Not as Extreme as In Other Areas ', 'Impacts Vehicle Usage', 'See Obesity in Older People', 'Too Busy for Exercise', 'Middleaged people are most prone to Obesity', 'Poverty as Reason for Illness', 'Missed Treatment', 'Health Issue Seen in Elementary Schools', 'Health Impact (obesity)', 'Mental Impact of Being Obese', 'Limited Community Impact', 'Difficult Doing Day-To-Day Things', 'Rely on Others', 'Difficulty in Activities', 'Associated with Health Issues', 'Diabetes', 'Age/ Weight', 'Families Struggle with Obesity', 'Obesity Leads to Medical Problems', 'Obesity Cycle', 'Obesity Linked to Depression', 'Inability to Exercise', 'Prevalence of Senior Obesity in Eagle Mountain', 'Impacts of Obesity', 'A Few Obese Seniors Available', 'High Risk for Falls', 'Affects Mobility', 'Increases Health Issues', 'Not specific to EM', 'Problem in Community', 'Broader Flu Problem', 'No Area Effect Perception', 'Personal Impact', 'Social Impact', 'Negative Transportation Impact', 'Walking Discomfort', 'Mobility Issues', 'Reduced Walking Activity', 'Limited Health Knowledge', 'Active Community', 'Walking', 'On-Campus Activity', 'No Direct Observations', 'More Opportunities on Campus', 'Never experienced flu', 'Insight into Community Health Issues', 'Rec Center Perspectives', 'Attempting to Fix', 'National Level Comparison', 'Local Level Perception', 'National Average', 'Normal Obesity Perception', 'No Obvious Overweight Issues', 'No Communities Known Interacting with Obese People', ""Don't know people at risk of conditions"", 'Privileged Neighborhood', 'Limited Exposure and Perception of Obesity', 'Limited Awareness Regarding Others', 'Limited Social Knowledge', 'No Personal Experiences', 'Can’t Teach Kids to be Healthy', 'Ripple Effect - Obesity', 'Health Cascade', 'Fitness Facility', 'No Recent Observation of Obesity', 'Limited Observation', 'See Steps Being Taken', 'Obesity Causes Complications', 'Obesity Increases Healthcare Costs', 'Obesity Impact on Quality of Life', 'Impact on Pediatric Population', 'Health Issues Can Lead Too', 'Impact on Mental Health', 'Affect on Self-Esteem', 'Negative Impact', 'Obesity Can Affect Behavior', 'Similar to Anywhere', ""Flu Doesn't Change Impact"", 'Childhood Athletic Environment', 'Childhood Environment Did Not Have Obesity Problem', 'Playing Sports', 'Family & Neighborhood Perception', 'No Old Neighbors', 'No Obesity Awareness', '_Question_Q10_Health Impact', 'Healthy Diet', 'One Serving a Week']","['Good Health', 'Low Obesity', 'Some Obesity in Community', 'Social Activity Impact', 'Poor Health = No Recreation', 'Payson Market as Good Food Source', 'Health Affects Activities', 'Obesity Not Cause - Cause Factors', 'Q10_Health Impact', 'Health Resources', 'Familial Impact', 'Affects Addicts', 'Bad for Substance Addicts', 'Impact on Family', 'Could Affect Children', 'Health Impact', 'Obesity and Driving', 'Impacts Vehicle Usage', 'See Obesity in Older People', 'Middleaged people are most prone to Obesity', 'Poverty as Reason for Illness', 'Health Issue Seen in Elementary Schools', 'Health Impact (obesity)', 'Mental Impact of Being Obese', 'Associated with Health Issues', 'Diabetes', 'Age/ Weight', 'Families Struggle with Obesity', 'Obesity Leads to Medical Problems', 'Obesity Cycle', 'Obesity Linked to Depression', 'Prevalence of Senior Obesity in Eagle Mountain', 'Impacts of Obesity', 'A Few Obese Seniors Available', 'Affects Mobility', 'Increases Health Issues', 'Personal Impact', 'Social Impact', 'Negative Transportation Impact', 'Insight into Community Health Issues', 'Normal Obesity Perception', 'No Obvious Overweight Issues', 'No Communities Known Interacting with Obese People', 'Limited Exposure and Perception of Obesity', 'Can’t Teach Kids to be Healthy', 'Ripple Effect - Obesity', 'Health Cascade', 'No Recent Observation of Obesity', 'Obesity Causes Complications', 'Obesity Increases Healthcare Costs', 'Obesity Impact on Quality of Life', 'Impact on Pediatric Population', 'Health Issues Can Lead Too', 'Impact on Mental Health', 'Affect on Self-Esteem', 'Negative Impact', 'Obesity Can Affect Behavior', ""Flu Doesn't Change Impact"", 'Childhood Environment Did Not Have Obesity Problem', 'No Obesity Awareness', '_Question_Q10_Health Impact', 'Healthy Diet']",1,Q10_Obe_1
Q10_Health Impact,Obesity,"['Good Health', 'Low Obesity', 'Community Fitness', 'Some Obesity in Community', 'Social Activity Impact', 'Difficulty with Activities', 'Poor Health = No Recreation', 'Payson Market as Good Food Source', 'Health Affects Activities', 'Availability of Grocery Stores', 'Lack of Fitness', 'Obesity Not Cause - Cause Factors', 'Q10_Health Impact', 'Flu Shot Recommended', 'Many Outdoor Resources', 'Community', 'Health Resources', 'Familial Impact', 'Limited Extracurricular/Sports', 'Not Many Extracurriculars', 'Surrounding Fast Food Restaurants', 'Affects Addicts', 'Less Activities', 'Bad for Substance Addicts', 'Personal Observations', 'Potentially High-Risk Area', 'Impact on Family', 'Could Affect Children', 'Flu is an issue at UVU', 'Health Impact', 'UVU Experience', 'Present Issue', ""Doesn't notice high rates"", 'Poor Quality of Life', 'Impacts Walking', 'Obesity and Driving', 'Not as Extreme as In Other Areas ', 'Impacts Vehicle Usage', 'See Obesity in Older People', 'Too Busy for Exercise', 'Middleaged people are most prone to Obesity', 'Poverty as Reason for Illness', 'Missed Treatment', 'Health Issue Seen in Elementary Schools', 'Health Impact (obesity)', 'Mental Impact of Being Obese', 'Limited Community Impact', 'Difficult Doing Day-To-Day Things', 'Rely on Others', 'Difficulty in Activities', 'Associated with Health Issues', 'Diabetes', 'Age/ Weight', 'Families Struggle with Obesity', 'Obesity Leads to Medical Problems', 'Obesity Cycle', 'Obesity Linked to Depression', 'Inability to Exercise', 'Prevalence of Senior Obesity in Eagle Mountain', 'Impacts of Obesity', 'A Few Obese Seniors Available', 'High Risk for Falls', 'Affects Mobility', 'Increases Health Issues', 'Not specific to EM', 'Problem in Community', 'Broader Flu Problem', 'No Area Effect Perception', 'Personal Impact', 'Social Impact', 'Negative Transportation Impact', 'Walking Discomfort', 'Mobility Issues', 'Reduced Walking Activity', 'Limited Health Knowledge', 'Active Community', 'Walking', 'On-Campus Activity', 'No Direct Observations', 'More Opportunities on Campus', 'Never experienced flu', 'Insight into Community Health Issues', 'Rec Center Perspectives', 'Attempting to Fix', 'National Level Comparison', 'Local Level Perception', 'National Average', 'Normal Obesity Perception', 'No Obvious Overweight Issues', 'No Communities Known Interacting with Obese People', ""Don't know people at risk of conditions"", 'Privileged Neighborhood', 'Limited Exposure and Perception of Obesity', 'Limited Awareness Regarding Others', 'Limited Social Knowledge', 'No Personal Experiences', 'Can’t Teach Kids to be Healthy', 'Ripple Effect - Obesity', 'Health Cascade', 'Fitness Facility', 'No Recent Observation of Obesity', 'Limited Observation', 'See Steps Being Taken', 'Obesity Causes Complications', 'Obesity Increases Healthcare Costs', 'Obesity Impact on Quality of Life', 'Impact on Pediatric Population', 'Health Issues Can Lead Too', 'Impact on Mental Health', 'Affect on Self-Esteem', 'Negative Impact', 'Obesity Can Affect Behavior', 'Similar to Anywhere', ""Flu Doesn't Change Impact"", 'Childhood Athletic Environment', 'Childhood Environment Did Not Have Obesity Problem', 'Playing Sports', 'Family & Neighborhood Perception', 'No Old Neighbors', 'No Obesity Awareness', '_Question_Q10_Health Impact', 'Healthy Diet', 'One Serving a Week']","['Difficulty with Activities', 'Lack of Fitness', 'Flu Shot Recommended', 'Less Activities', 'Flu is an issue at UVU', 'Present Issue', 'Poor Quality of Life', 'Impacts Walking', 'Too Busy for Exercise', 'Missed Treatment', 'Difficult Doing Day-To-Day Things', 'Difficulty in Activities', 'Inability to Exercise', 'Problem in Community', 'Broader Flu Problem', 'Walking Discomfort', 'Mobility Issues', 'Reduced Walking Activity', 'Walking', 'Never experienced flu', 'Attempting to Fix', 'Fitness Facility', 'See Steps Being Taken', 'Playing Sports', 'One Serving a Week']",2,Q10_Obe_2
Q11_At-Risk Populations,Depression,"['Disabled People are at Risk', 'Depression Can Affect Anyone', 'Disabled with No Support Group is greatly impacted', 'College and High School Students', 'Speaking from Personal Experience', 'Minority Groups', 'Difficult to Form Communities', 'Middle School to High School Age Group', 'Limited Experience', 'Vulnerable Populations', 'Changes to Life', 'No More Activities', 'More Loneliness', 'Teachers and Students Experience Anxiety', 'Personal Anxiety without Depression', 'Friends with Teen Depression', 'Personal Witness', 'Teenagers', 'Missionaries', 'Age at Risk of Flu', 'No Support System', 'Past Trauma', 'Teenagers and Elderly most at risk', 'Depression not a high risk population', 'Children of Depressed Parents', 'Females More Likely', 'Older Adults and Youth most Impacted', 'Higher Risk', 'At-Risk Populations', 'Youth at Risk', 'But/However', 'All Ages', 'Youth Depression', 'Young and Old Affected', 'Youngsters Likely to Suffer from Depression', 'Depressed among all Ages', 'No Observable Correlation', 'Young Adults and Teens', 'Social Exposure', 'Depression Related Issues', 'Gender', 'At Risk Groups']","['Minority Groups', 'Difficult to Form Communities', 'Vulnerable Populations', 'Changes to Life', 'No More Activities', 'More Loneliness', 'Missionaries', 'Females More Likely', 'Higher Risk', 'At-Risk Populations', 'But/However', 'All Ages', 'No Observable Correlation', 'Gender']",0,Q11_Dep_0
Q11_At-Risk Populations,Depression,"['Disabled People are at Risk', 'Depression Can Affect Anyone', 'Disabled with No Support Group is greatly impacted', 'College and High School Students', 'Speaking from Personal Experience', 'Minority Groups', 'Difficult to Form Communities', 'Middle School to High School Age Group', 'Limited Experience', 'Vulnerable Populations', 'Changes to Life', 'No More Activities', 'More Loneliness', 'Teachers and Students Experience Anxiety', 'Personal Anxiety without Depression', 'Friends with Teen Depression', 'Personal Witness', 'Teenagers', 'Missionaries', 'Age at Risk of Flu', 'No Support System', 'Past Trauma', 'Teenagers and Elderly most at risk', 'Depression not a high risk population', 'Children of Depressed Parents', 'Females More Likely', 'Older Adults and Youth most Impacted', 'Higher Risk', 'At-Risk Populations', 'Youth at Risk', 'But/However', 'All Ages', 'Youth Depression', 'Young and Old Affected', 'Youngsters Likely to Suffer from Depression', 'Depressed among all Ages', 'No Observable Correlation', 'Young Adults and Teens', 'Social Exposure', 'Depression Related Issues', 'Gender', 'At Risk Groups']","['Depression Can Affect Anyone', 'College and High School Students', 'Middle School to High School Age Group', 'Teachers and Students Experience Anxiety', 'Personal Anxiety without Depression', 'Friends with Teen Depression', 'Teenagers', 'Age at Risk of Flu', 'Teenagers and Elderly most at risk', 'Depression not a high risk population', 'Children of Depressed Parents', 'Older Adults and Youth most Impacted', 'Youth at Risk', 'Youth Depression', 'Young and Old Affected', 'Youngsters Likely to Suffer from Depression', 'Depressed among all Ages', 'Young Adults and Teens', 'Depression Related Issues']",1,Q11_Dep_1
Q11_At-Risk Populations,Depression,"['Disabled People are at Risk', 'Depression Can Affect Anyone', 'Disabled with No Support Group is greatly impacted', 'College and High School Students', 'Speaking from Personal Experience', 'Minority Groups', 'Difficult to Form Communities', 'Middle School to High School Age Group', 'Limited Experience', 'Vulnerable Populations', 'Changes to Life', 'No More Activities', 'More Loneliness', 'Teachers and Students Experience Anxiety', 'Personal Anxiety without Depression', 'Friends with Teen Depression', 'Personal Witness', 'Teenagers', 'Missionaries', 'Age at Risk of Flu', 'No Support System', 'Past Trauma', 'Teenagers and Elderly most at risk', 'Depression not a high risk population', 'Children of Depressed Parents', 'Females More Likely', 'Older Adults and Youth most Impacted', 'Higher Risk', 'At-Risk Populations', 'Youth at Risk', 'But/However', 'All Ages', 'Youth Depression', 'Young and Old Affected', 'Youngsters Likely to Suffer from Depression', 'Depressed among all Ages', 'No Observable Correlation', 'Young Adults and Teens', 'Social Exposure', 'Depression Related Issues', 'Gender', 'At Risk Groups']","['Disabled People are at Risk', 'Disabled with No Support Group is greatly impacted', 'Speaking from Personal Experience', 'Limited Experience', 'Personal Witness', 'No Support System', 'Past Trauma', 'Social Exposure', 'At Risk Groups']",2,Q11_Dep_2
Q11_At-Risk Populations,Obesity,"['Black Women', 'Risk Factor: Black', 'Difficulty with Transportation', 'Prefer to stay home', 'Potential Concerns', 'Underprivileged More At Risk', 'Poverty', 'Limited Diet', 'More Middle-Aged Obese', 'Risk Factors in Middle Range', 'Risk Greater as You Age', 'I feel at greater risk', 'Age group middle-aged', 'Older People', '(A)', 'Parental Use of TV as Babysitter for Kids', 'Obesity', 'Bad Socioeconomic', 'Surviving but not thriving', 'Refugees - At Risk', 'Elderly with no Family', 'Community Risk Impact', 'Distance from Family', 'Diverse at-risk families', 'At-risk everywhere', '40-60 Year Olds', 'At Risk Population: Adults', 'At risk occupation', 'Mental Illness', 'Severe Mental Health is Vulnerable Population', 'Relationship Weight', 'Career Impacts', 'Gender Considerations', 'Elderly and Middle Aged', 'Low-Income', 'Latinos/Latin Americans', 'No At Risk Info', '01 11At-Risk Populations', 'Less At-Risk', 'Educational Attainment (Factor)', 'Under Educated as Risk Population', 'Education Improves Health', 'Poverty and Low Income', 'Spanish Speaking', 'Single/Double Parent', 'Economic Means', 'Older Populations', 'Active Lifestyle Beneficial', 'Culture and Customs Impact', 'Elderly', '50+', 'Low-Income', 'Lack of Knowledge', 'Eating based on Convenience', 'Senior Citizens', 'Broad Affects Different Groups', 'At risk groups', 'Age seen with virus', 'Children at risk', 'Elderly Most at Risk', 'Current Flu Season Focus', 'Kids are Most at Risk', 'Low Income Families and Homes are Most at Risk', 'No Flu Experience', 'Heavy Colds', 'No Extended Illness', 'Community Members', 'Not Gender Based', 'Lack of Income', 'Lower Income Individuals', 'Resource Limitations', 'Lower Income Groups at Risk', 'Lack of Healthy Food', 'Limited Financial Resources for Healthy Services', 'Low Income Neighborhoods', 'Inability to Exercise', 'Neglect of Sidewalks', 'Kids and pre-teens', 'Screens', 'Not going outside', 'Lower Income', 'Fresh Food More Expensive', 'More Likely to Buy Processed', 'Processed Food Over Healthy', 'Cost as Driver', 'Students', 'Parents Diet and Kids', 'Low Income', 'Poor Children', 'Poverty, Health Concerns', 'Poor Diet', 'No Fresh Food Access at Food Programs', 'Obesity Impacting Health', 'Co Workers', 'Poverty Range', 'At-Risk Groups: Low-Income Households', 'Vulnerable Population', 'Low-income Families', 'Cultural/ Ethnic Groups', 'Children Vulnerable due to Poverty', 'Certain groups may have higher rates', 'Economic Vulnerability', 'Not Active Kids Surprised', 'Screen and Devices', 'Health Decline Over Time', 'Inactive Lifestyle', 'Hispanic Obesity', 'Many Overweight Hispanics in the School System', 'Spanish Population']","['Black Women', '(A)', 'Low-Income', 'Latinos/Latin Americans', 'Poverty and Low Income', 'Spanish Speaking', 'Single/Double Parent', '50+', 'Low-Income', 'Community Members', 'Lower Income Individuals', 'Low Income Neighborhoods', 'Screens', 'Lower Income', 'Students', 'Low Income', 'Co Workers', 'Low-income Families', 'Cultural/ Ethnic Groups', 'Screen and Devices', 'Spanish Population']",0,Q11_Obe_0
